customer_id,ASIN,URL,Image URL,Brand,amount,Number of Customers,Revenue,BSR,Seller Country/Region,Fees $,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,Creation Date
($) AOTORR Men's Tracksuit 2 Pieces Sweat Suits Casual Long Sleeve Outfit Sports Jogging Suits Set,B07YDP33YX,https://www.amazon.com/dp/B07YDP33YX?psc=1,https://m.media-amazon.com/images/I/61HHfyYWlKL._AC_UX342_.jpg,AOTORR,39.99,256,"10,237.44","92,165",CN,14.44,1,4.4,"1,118",7,10,AOTORR,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,12.8x3.3x15.9,2.17,9/26/2019
($) PASOK Men's Casual Tracksuit Set Long Sleeve Full-Zip Running Jogging Athletic Sweat Suits,B07QRX6R3N,https://www.amazon.com/dp/B07QRX6R3N?psc=1,https://m.media-amazon.com/images/I/51rG0P4pxxL._AC_UY550_.jpg,PASOK,39.99,"1,126","45,028.74","40,009",CN,14.29,2,4.2,"5,021",7,53,matchlife,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,11.6x2.8x15.2,2.09,4/15/2019
($) Tebreux Men's Tracksuits 2 Piece Outfit Jogging Suits Set Casual Long Sleeve Sports Sweatsuits,B0888495HX,https://www.amazon.com/dp/B0888495HX?psc=1,https://m.media-amazon.com/images/I/614CtJB+8vL._AC_UX385_.jpg,Tebreux,41.99,387,"16,250.13","97,602",CN,14.49,2,4.5,"1,662",7,6,Tebreux,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,10.8x2.4x14.9,2.35,5/7/2020
($) Litteking Men's Tracksuits Sweat Suit Casual Long Sleeve 2 Piece Outfit Sports Jogging Suits Set,B08C342PNG,https://www.amazon.com/dp/B08C342PNG?psc=1,https://m.media-amazon.com/images/I/51bvtO9XusL._AC_UX342_.jpg,Litteking,39.99,585,"23,394.15","49,134",CN,14.61,1,4.3,"1,241",6,35,Litteking,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,8.5x5.5x14.0,2.35,6/30/2020
adidas Mens Sportswear Basic 3-stripes Tricot Track Suit,B09Y7SGP3M,https://www.amazon.com/dp/B09Y7SGP3M?psc=1,https://m.media-amazon.com/images/I/717Tl41a2ZL._AC_UX342_.jpg,adidas,n/a,n/a,n/a,"9,490",AMZ,n/a,4,3.9,7,n/a,0,Amazon.com,"Clothing, Shoes & Jewelry",n/a,AMZ,n/a,n/a,4/18/2022
DUOFIER Men’s Tracksuit Jogging Sweat Suits 2 Piece Casual Outfit Athletic Suit Set,B09HL91C6N,https://www.amazon.com/dp/B09HL91C6N?psc=1,https://m.media-amazon.com/images/I/51RnftK1ryL._AC_UX385_.jpg,DUOFIER,41.99,462,"19,399.38","61,787",CN,14.99,1,4.4,443,6,15,DUOFIER,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,10.9x3.4x14.5,2.29,9/30/2021
TOLOER Men's Activewear Full Zip Warm Tracksuit Sports Set Casual Sweat Suit,B07ZGQJT8S,https://www.amazon.com/dp/B07ZGQJT8S?psc=1,https://m.media-amazon.com/images/I/81eUoKLBAyL._AC_UX522_.jpg,TOLOER,39.99,294,"11,757.06","73,692",CN,14.65,2,4.3,"1,846",6,9,YiTengT SHOP,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,12.0x2.7x14.9,2.03,10/14/2019
"Track Suits for Men Set Hoodies, Men's Tracksuit 2 Piece Hooded Athletic Sweatsuits Casual Running Jogging Sport Suit Sets",B0BGZPZX76,https://www.amazon.com/dp/B0BGZPZX76?psc=1,https://m.media-amazon.com/images/I/71zN5SQ27zL._AC_UX466_.jpg,Generic,1,"7,591","7,591.00",120,CN,6.67,13,2.1,469,4,82,tiehengzvs99,Sports & Outdoors,n/a,MFN,n/a,n/a,10/1/2022
G-Style USA Men's Side Stripe Zipper Jacket Drawstring Waistband Tracksuit,B07J1JLRJ1,https://www.amazon.com/dp/B07J1JLRJ1?psc=1,https://m.media-amazon.com/images/I/913K1JvNRmL._AC_UX679_.jpg,G-Style USA,62.95,"1,554","97,824.30","19,169",US,8.44,1,4.6,"2,336",9,22,gstyleusa,"Clothing, Shoes & Jewelry",Small Oversize,FBA,15.7x2.6x24.1,2.58,8/10/2018
PUMPITU Men's Casual Athletic Tracksuit Long Sleeve Sweatsuit Set Full Zip Running Sports Jacket and Pants 2 Piece Outfits,B0BP89MPS1,https://www.amazon.com/dp/B0BP89MPS1?psc=1,https://m.media-amazon.com/images/I/51iWnCof+LL._AC_UX342_.jpg,PUMPITU,29.99,n/a,n/a,"70,653",n/a,n/a,1,4.7,24,n/a,0,Pumpitu,"Clothing, Shoes & Jewelry",n/a,FBA,n/a,n/a,12/6/2022
TEZO Men's Casual Active Tracksuits Full Zip Sports Jogging Suits Sets Athletic Running 2 Piece Sweatsuits with Zip Pockets,B099NHMCPD,https://www.amazon.com/dp/B099NHMCPD?psc=1,https://m.media-amazon.com/images/I/61W0K0L-OCL._AC_UX342_.jpg,TEZO,40.99,"1,020","41,809.80","28,875",CN,14.62,1,4.2,563,6,37,TEZO SPORTS LIFE,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,8.7x5.2x12.6,1.92,7/16/2021
LBL Men's Sweat Suit 2 Piece Outfit Casual Contrast Sports Jogging Tracksuits Set,B09CDB2789,https://www.amazon.com/dp/B09CDB2789?psc=1,https://m.media-amazon.com/images/I/61+Y9IZU2TL._AC_UX569_.jpg,LBL Leading the Better Life,37.39,"1,962","73,359.18","11,351",CN,13.85,1,3.9,885,7,83,"Asali International Clothing Co.,Ltd","Clothing, Shoes & Jewelry",Large Standard-Size,FBA,11.2x3.0x15.2,1.92,8/11/2021
($) Minibee Men's Tracksuit Set 2 Piece Full Zip Athletic Sweatsuit Outfit Running Jogging Sport Jacket and Pants Set,B083RS9MTX,https://www.amazon.com/dp/B083RS9MTX?psc=1,https://m.media-amazon.com/images/I/61hZ7Za2mUL._AC_UX342_.jpg,Minibee,35.99,130,"4,678.70","354,324",CN,13.76,2,3.8,117,6,2,matchlife,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,13.1x3.7x16.1,1.79,3/29/2021
($) MONTIQUE Men’s Track Suit 2 Piece Set - Casual Jogging Sweat Suit for Men,B09TS3K667,https://www.amazon.com/dp/B09TS3K667?psc=1,https://m.media-amazon.com/images/I/719YIZmLU-L._AC_UY445_.jpg,MONTIQUE,74.99,32,"2,399.68","251,583",US,n/a,1,4.8,7,3,0,Zepru,"Clothing, Shoes & Jewelry",n/a,MFN,n/a,n/a,3/2/2022
($) PASOK Men's Casual Tracksuit Long Sleeve Full Zip Running Jogging Sweatsuit Athletic Sports Set,B07TTR693H,https://www.amazon.com/dp/B07TTR693H?psc=1,https://m.media-amazon.com/images/I/51I1BrLSJlL._AC_UY879_.jpg,PASOK,38.98,517,"20,152.66","67,671",CN,14.27,1,4,"1,937",7,32,matchlife,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,11.5x4.2x14.8,1.57,7/4/2019
($) MoFiz Men's Tracksuits Set Long Sleeve Causal Full Zip Running Sports Sweatsuit For Men 2 Piece Outfits,B0B76XYT1H,https://www.amazon.com/dp/B0B76XYT1H?psc=1,https://m.media-amazon.com/images/I/51GXdWMBdzL._AC_UX679_.jpg,MoFiz,39.99,"1,785","71,382.15","11,576",CN,14.15,1,4.5,209,7,43,sunflower1990,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,11.8x2.4x13.5,2.37,7/21/2022
"Men's Tracksuits 2 Piece Outfit, Track Suits for Men Set Hoodies Athletic Sweatsuits Running Jogging Sport Suit Sets",B0BNJ3W6DL,https://www.amazon.com/dp/B0BNJ3W6DL?psc=1,https://m.media-amazon.com/images/I/71idP04lIhL._AC_UX679_.jpg,Generic,18.99,n/a,n/a,"1,239,348",CN,n/a,1,n/a,0,n/a,0,PYCGFU 【13-15 Days Arrive】,"Clothing, Shoes & Jewelry",n/a,MFN,n/a,n/a,11/28/2022
adidas Men's Essentials Warm-Up Open Hem 3-Stripes Tracksuit Bottoms,B08MLNP18T,https://www.amazon.com/dp/B08MLNP18T?psc=1,https://m.media-amazon.com/images/I/71SBzjuc-DL._AC_UY550_.jpg,adidas,30,"10,204","306,120.00","1,256",AMZ,11.93,6,4.6,"4,285",4,168,Amazon,"Clothing, Shoes & Jewelry",Large Standard-Size,AMZ,11.0x2.2x14.1,0.93,11/3/2020
COOFANDY Men's Tracksuit 2 Piece Zip Up Sweatsuits Casual Athletic Jogging Suit Sets With Pockets,B0B5DMZVT9,https://www.amazon.com/dp/B0B5DMZVT9?psc=1,https://m.media-amazon.com/images/I/51El2QaO-WL._AC_UY879_.jpg,COOFANDY,35.99,567,"20,406.33","52,889",CN,13.77,1,4.6,90,5,9,Zeagoo,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,13.4x2.8x16.3,2.45,6/29/2022
Vintage American Flag Men's Tracksuit 2 Piece Clothes Outfits Set Women Casual Long Sleeve Pullover Hoodies Sweatpants Suit,B0BJQCVRMN,https://www.amazon.com/dp/B0BJQCVRMN?psc=1,https://m.media-amazon.com/images/I/61ntr-my-UL._AC_UX385_.jpg,Ovjircd,39.99,n/a,n/a,"151,655",US,n/a,2,3.4,23,n/a,0,Ovjircd-US,"Clothing, Shoes & Jewelry",n/a,FBA,n/a,n/a,10/18/2022
($) BURWOF Men's Polo Sweatsuit Sets Long Sleeve 2 Piece Outfit Fashion Jogging TrackSuit Comfy Casual Set for Men,B0BDFFXHVJ,https://www.amazon.com/dp/B0BDFFXHVJ?psc=1,https://m.media-amazon.com/images/I/41YFzNe3hZL._AC_UX466_.jpg,BURWOF,45.98,716,"32,921.68","41,229",CN,14.65,1,3.8,52,6,17,FAIRWOTE,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,10.3x1.9x13.2,1.08,9/7/2022
($) Litteking Men's Tracksuits 2 Piece Outfit Casual Long Sleeve Sweat Suit Set Full Zipper Sports Jogging Suits,B08HKXDPZ6,https://www.amazon.com/dp/B08HKXDPZ6?psc=1,https://m.media-amazon.com/images/I/51ye0iI9LFL._AC_UX569_.jpg,Litteking,39.99,392,"15,676.08","82,018",CN,14.13,1,4.2,880,4,5,Litteking,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,11.7x2.5x15.7,2.15,9/6/2020
($) dioxoib Men Track Suits Sets Long Sleeve Full-zip Sweatsuit Active Jackets and Pants 2 Piece Outfits,B0BG2T3HGV,https://www.amazon.com/dp/B0BG2T3HGV?psc=1,https://m.media-amazon.com/images/I/71RWZS-FAjL._AC_UX425_.jpg,dioxoib,46.99,802,"37,685.98","23,602",CN,16.16,1,4.3,25,6,5,dioxoib,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,13.1x2.7x17.0,2.47,11/2/2022
($) MoFiz Mens Tracksuit Jogging Sports Sweatsuit Comfortable Outfits Casual Athletic Pants Full zip Jacket 2 Piece,B0B778FMHW,https://www.amazon.com/dp/B0B778FMHW?psc=1,https://m.media-amazon.com/images/I/A1saOCiHZ8L._AC_UX569_.jpg,MoFiz,42.99,375,"16,121.25","65,399",CN,16.14,1,4.4,149,7,9,AIRIKE,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,12.2x3.1x13.7,2.18,7/21/2022
KISSQIQI Men's 2 Pieces Full Zip Tracksuits Golden Velvet Sport Suits Casual Outfits Jacket & Pants Fitness Tracksuit Set,B0BN1NY85G,https://www.amazon.com/dp/B0BN1NY85G?psc=1,https://m.media-amazon.com/images/I/41uybM7v32L._AC_UX342_.jpg,KISSQIQI,45.04,n/a,n/a,"32,188",CN,n/a,2,4,77,n/a,0,KISSQIQI,"Clothing, Shoes & Jewelry",n/a,FBA,n/a,n/a,8/2/2022
TBMPOY Men's Tracksuit Athletic Sports Casual Full Zip Sweatsuit,B08V53MLD8,https://www.amazon.com/dp/B08V53MLD8?psc=1,https://m.media-amazon.com/images/I/51RzVkwcYSL._AC_UX425_.jpg,TBMPOY,43.99,"3,495","153,745.05","9,508",CN,15.33,1,4.4,"8,484",7,111,TBMPOY,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,13.9x2.6x15.5,2.01,6/15/2018
Marine Royal Track Suits for Men Set Full Zip Sweatsuit Outdoor Jogging Men Tracksuits…,B09QX4XZXH,https://www.amazon.com/dp/B09QX4XZXH?psc=1,https://m.media-amazon.com/images/I/51RUtf6hhXL._AC_UX679_.jpg,Marine Royal,39.9,991,"39,540.90","26,245",CN,15.58,1,4.2,300,4,19,wenfanshangmao,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,13.0x4.1x17.3,2.18,1/21/2022
COOFANDY Men's Tracksuit 2 Piece Full Zip Athletic Sweatsuits Casual Running Jogging Sport Suit Sets,B09KV1GSRJ,https://www.amazon.com/dp/B09KV1GSRJ?psc=1,https://m.media-amazon.com/images/I/61Qpnak55WL._AC_UX522_.jpg,COOFANDY,39.99,282,"11,277.18","73,887",CN,14.45,1,4,121,7,3,Coofandy's,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,13.0x2.9x16.7,2.09,5/26/2022
Gopune Men's Athletic Tracksuit Full Zip Warm Jogging Sweat Suits,B07G969ZTS,https://www.amazon.com/dp/B07G969ZTS?psc=1,https://m.media-amazon.com/images/I/710KUoSQ0dL._AC_UX679_.jpg,Gopune,42.99,886,"38,089.14","41,061",CN,15.28,1,4.3,"2,700",1,18,Gopune,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,11.1x5.0x13.3,2.2,8/15/2019
Rdruko Men's Tracksuit Athletic Full Zip Casual Sports Jogging Gym Sweatsuit,B08VN3LSFP,https://www.amazon.com/dp/B08VN3LSFP?psc=1,https://m.media-amazon.com/images/I/71WKbNBz2WL._AC_UX385_.jpg,Rdruko,42.98,"1,493","64,169.14","20,725",CN,14.55,1,4.4,"3,828",7,91,Rdruko,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,13.7x3.0x14.0,1.81,12/25/2018
YAOGRO Velour Tracksuit Sweatsuit Set:Men's Jogging Suits Full Zip Casual Jackets Pants 2 piece Outfit Athletic Workout,B0BDFSYYPH,https://www.amazon.com/dp/B0BDFSYYPH?psc=1,https://m.media-amazon.com/images/I/51BBnb4sQHL._AC_UY741_.jpg,YAOGRO,42.99,235,"10,102.65","91,672",CN,15.63,1,4.1,22,6,1,YAOFAO,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,10.2x4.1x11.3,1.96,9/7/2022
dioxoib Men Track Suits Sets Long Sleeve Full-zip Sweatsuit Active Jackets and Pants 2 Piece Outfits,B0BG2X68JT,https://www.amazon.com/dp/B0BG2X68JT?psc=1,https://m.media-amazon.com/images/I/71ZfDaCP4nL._AC_UX385_.jpg,dioxoib,46.99,802,"37,685.98","23,602",CN,17.14,1,4.3,25,6,5,dioxoib,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,13.1x2.7x17.0,2.47,11/2/2022
Men's Casual Tracksuits Long Sleeve Jogging Suits Sweatsuit Sets Track Jackets and Pants 2 Piece Outfit,B092PQS1YD,https://www.amazon.com/dp/B092PQS1YD?psc=1,https://m.media-amazon.com/images/I/9189slQ5MlL._AC_UX679_.jpg,W JIANWANG,47.99,"1,513","72,608.87","15,655",CN,16.12,1,4.4,"2,017",7,55,Spurt Garment,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,13.8x3.5x16.1,2.18,1/9/2021
adidas Men's Aeroready Essentials Tapered Cuff Woven 3-Stripes Pants,B08MKDQC79,https://www.amazon.com/dp/B08MKDQC79?psc=1,https://m.media-amazon.com/images/I/51I9fgiIogL._AC_UX385_.jpg,adidas,30,"7,847","235,410.00","5,523",AMZ,11.47,13,4.6,"3,107",5,116,Amazon,"Clothing, Shoes & Jewelry",Large Standard-Size,AMZ,10.3x1.9x13.8,0.86,11/3/2020
MACHLAB Men's Activewear Full Zip Warm Tracksuit Sports Set Casual Sweat Suit,B083P61H78,https://www.amazon.com/dp/B083P61H78?psc=1,https://m.media-amazon.com/images/I/61UgH-x1gML._AC_UX679_.jpg,MACHLAB,38.66,"2,442","94,407.72","3,364",CN,14.42,1,4.2,"2,685",7,55,MACHLAB Store,Sports & Outdoors,Large Standard-Size,FBA,12.3x2.7x15.4,1.74,9/7/2021
PASOK Men's Casual Tracksuit Full Zip Running Jogging Athletic Sports Jacket and Pants Set,B07KQ32RG7,https://www.amazon.com/dp/B07KQ32RG7?psc=1,https://m.media-amazon.com/images/I/51HrLsrp9hL._AC_UY550_.jpg,PASOK,39.99,590,"23,594.10","50,854",CN,14.76,2,4.2,"3,398",5,20,matchlife,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,11.9x3.4x15.4,1.52,11/20/2018
"Mens Sweatsuits 2 Piece Casual Athletic Long Sleeve Tracksuit Set Jogging Suit for Running,Exercise,Traning",B08T67ZJS2,https://www.amazon.com/dp/B08T67ZJS2?psc=1,https://m.media-amazon.com/images/I/7185fTXhgiL._AC_UX425_.jpg,R RAMBLER 1985,49.99,241,"12,047.59","114,047",CN,16.14,1,4,367,7,8,landle,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,11.8x3.5x15.0,2.51,1/15/2021
YSENTO Men's Tracksuits 2 Piece Jogging Suits Casual Sports Sweatsuits Track Suits Set,B08V5PLR1Q,https://www.amazon.com/dp/B08V5PLR1Q?psc=1,https://m.media-amazon.com/images/I/61g+NdhGkQL._AC_UX466_.jpg,YSENTO,42.98,"1,654","71,088.92","20,264",CN,14.95,2,4.4,"4,490",7,51,YSENTO,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,13.5x3.3x14.0,1.98,12/12/2017
MoFiz Men's Tracksuits Set Long Sleeve Causal Full Zip Running Sports Sweatsuit For Men 2 Piece Outfits,B0B76SJJY3,https://www.amazon.com/dp/B0B76SJJY3?psc=1,https://m.media-amazon.com/images/I/61hU8Xru-UL._AC_UX342_.jpg,MoFiz,42.99,"1,785","76,737.15","11,576",CN,14.14,1,4.5,209,7,48,sunflower1990,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,11.8x2.4x13.5,2.37,7/21/2022
COOFANDY Men's Tracksuit 2 Piece Hooded Athletic Sweatsuits Casual Running Jogging Sport Suit Sets,B09VS7GB55,https://www.amazon.com/dp/B09VS7GB55?psc=1,https://m.media-amazon.com/images/I/61nQwVHQcUS._AC_UX385_.jpg,COOFANDY,49.99,"1,356","67,786.44","52,367",CN,16.14,1,3.8,539,7,45,Coofandy's,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,12.9x2.7x16.3,1.92,6/19/2021
COOFANDY Men's Flower Shirt Hawaiian Sets Casual Button Down Short Sleeve Shirt,B09KNBLT2Z,https://www.amazon.com/dp/B09KNBLT2Z?psc=1,https://m.media-amazon.com/images/I/816mUo4-CQL._AC_UY606_.jpg,COOFANDY,37.99,"7,685","291,953.15","1,523",CN,13.29,1,4.4,"4,900",1,80,Coofandy's,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,10.4x2.0x13.6,1.3,4/20/2020
ChoiceApparel Mens Athletic 2 Piece Tracksuit Set,B07HM6T6YD,https://www.amazon.com/dp/B07HM6T6YD?psc=1,https://m.media-amazon.com/images/I/71xxC3Mdy4L._AC_UY445_.jpg,ChoiceApparel,44.99,629,"28,298.71","37,716",US,15.14,1,4.2,504,6,12,ChoiceApparel,"Clothing, Shoes & Jewelry",Large Standard-Size,FBA,10.6x3.9x13.2,2.35,10/27/2016
